Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%)
Germany,Taylor Swift,1989 (Taylor's Version),K-pop,2019,23.1,3695.53,14240.35,4.28,Free,118.51,2.24
Brazil,The Weeknd,After Hours,R&B,2022,60.6,2828.16,11120.44,3.9,Premium,44.87,23.98
United States,Post Malone,Austin,Reggaeton,2023,42.84,1425.46,4177.49,4.03,Free,19.46,4.77
Italy,Ed Sheeran,Autumn Variations,K-pop,2018,73.24,2704.33,12024.08,3.26,Premium,166.05,25.12
Italy,Ed Sheeran,Autumn Variations,R&B,2023,7.89,3323.25,13446.32,4.47,Free,173.43,15.82
Sweden,Billie Eilish,Happier Than Ever,Indie,2019,37.65,1087.06,3298.09,4.37,Free,122.22,7.67
France,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Rock,2021,27.72,4630.69,17950.05,2.94,Premium,168.73,31.26
France,Doja Cat,Scarlet,Pop,2020,40.72,377.63,1633.73,3.63,Premium,43.31,20.47
Sweden,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2019,25.42,2828.77,8558.4,3.67,Premium,73.04,39.9
United Kingdom,Ariana Grande,Eternal Sunshine,Rock,2018,75.82,4312.46,12099.39,2.82,Premium,119.69,16.01
Argentina,Dua Lipa,Future Nostalgia,Jazz,2020,97.14,4310.86,10876.14,3.94,Premium,153.95,14.27
South Korea,BLACKPINK,BORN PINK,Reggaeton,2021,1.32,3624.36,14277.66,4.44,Free,102.03,5.15
South Korea,Doja Cat,Scarlet,Jazz,2022,20.69,1900.87,5366.34,4.41,Free,120.19,20.06
Germany,SZA,SOS,Indie,2020,24.71,1242.31,4515.44,2.66,Premium,163.39,39.14
South Africa,Post Malone,Austin,Reggaeton,2019,66.32,4736.9,13406.63,3.56,Premium,192.91,37.23
Australia,Karol G,MAÑANA SERÁ BONITO,K-pop,2021,99.52,3266.9,11029.71,3.54,Free,50.33,3.5
United States,Ed Sheeran,Autumn Variations,Jazz,2019,59.26,85.59,335.14,2.62,Free,181.18,34.53
Brazil,Ariana Grande,Eternal Sunshine,R&B,2020,67.23,1110.47,3070.03,4.37,Premium,49.36,19.45
Netherlands,The Weeknd,After Hours,Hip Hop,2018,66.24,1803.77,5992.49,4.23,Free,135.0,39.38
Germany,Taylor Swift,1989 (Taylor's Version),EDM,2023,34.59,4315.28,12934.24,2.88,Premium,28.9,8.16
Sweden,The Weeknd,After Hours,Hip Hop,2021,80.99,4287.04,11557.08,3.8,Free,193.83,37.13
